Strategy,Coverage,R_value,Size
DV,1,1,3,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,196,
DV,1,1,1,
DV,1,1,2,
DV,1,1,3,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,34,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,75,
DV,1,1,15,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,31,
DV,1,1,1,
DV,1,1,3,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,6,
DV,1,1,39,
DV,1,1,6,
DV,1,1,3,
DV,1,1,6,
DV,1,1,6,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,18,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,5,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,3,
DV,1,1,4,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,11,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,1,
DV,1,1,63,
DV,1,1,1,
DV,1,1,2,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,33,
DV,1,1,1,
DV,1,1,13,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,3,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,20,
DV,1,1,20,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,10,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,40,
DV,1,1,25,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,75,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,3,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,4,
DV,1,1,6,
DV,1,1,2,
DV,1,1,3,
DV,1,1,53,
DV,1,1,1,
DV,1,1,29,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,188,
DV,1,1,1,
DV,1,1,6,
DV,1,1,49,
DV,1,1,1,
DV,1,1,17,
DV,1,1,1,
DV,1,1,71,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,5,
DV,1,1,1,
DV,1,1,5,
DV,1,1,1,
DV,1,1,3,
DV,1,1,6491,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,16,
DV,1,1,1,
DV,1,1,14,
